, Emotion, Text, Clean_text
242,kesal, Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa. , Sayakesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
243,kecewa, Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus. , Sangatkecewa dengan sikap tidak ramah dari petugas tata usaha kampus.
244,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu. , Pelayanan tata usaha kampus sangat memuaskan dan membantu.
245,senang, Sayasenang dengan respon cepat dari tata usaha kampus. , Sayasenang dengan respon cepat dari tata usaha kampus.
246,biasa saja, Pelayanan tata usaha kampus hanya standar sajatidak ada yang luar biasa. , Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.
247,kesal, Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit. , Tata usaha kampus membuat sayakesal karena prosesnya yang berbelit-belit.
248,kecewa, Sangatkecewa dengan ketidakresponsifan tata usaha kampus. , Sangatkecewa dengan ketidakresponsifan tata usaha kampus.
249,puas, Pelayanan di tata usaha kampus sungguh memuaskan. , Pelayanan di tata usaha kampus sungguh memuaskan.
250,senang, Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus. , Sayasenang dengan pelayanan yang diberikan oleh tata usaha kampus.
251,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
252,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
253,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
254,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
255,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
256,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
257,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
258,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
259,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
260,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
261,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
262,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
263,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
264,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
265,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
266,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
267,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
268,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
269,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
270,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
271,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja  tidak ada yang istimewa.
272,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
273,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
274,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
275,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
276,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
277,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
278,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
279,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
280,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
281,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
282,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
283,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
284,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
285,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
286,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
287,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
288,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
289,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
290,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
291,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
292,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
293,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
294,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
295,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
296,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
297,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
298,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
299,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
300,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
301,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
302,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
303,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
304,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
305,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
306,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
307,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
308,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
309,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
310,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
311,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
312,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
313,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
314,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
315,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
316,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
317,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
318,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
319,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
320,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
321,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
322,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
323,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
324,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
325,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
326,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
327,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
328,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
329,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
330,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
331,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja  tidak ada yang istimewa.
332,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
333,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
334,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah. , Pelayanan tata usaha kampus sangat memuaskan dan ramah.
335,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus. , Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
336,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa. , Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
337,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi. , Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
338,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah. , Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
339,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan. , Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
340,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
341,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa.
342,kesal, Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan. , Sayakesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.
343,kecewa, Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien. , Sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efisien.
